Player,AB,H,2B,3B,HR,BB,HBP
Labedz Kyle,165,51,10,1,3,10,2
Kalitowski Jack,133,52,3,1,0,24,3
Overley Micah,165,55,12,3,2,12,7
Meidenbauer Sam,107,41,6,3,4,6,2
Ryan Francis,29,4,0,0,0,5,1
Schraufnagel Luke,28,6,3,0,0,7,1
Wojciechowski Nolan,124,31,3,1,0,13,3
Gannon Charlie,9,0,0,0,0,0,1
Skolmar Jordan,4,1,0,0,0,0,0
Besch Brandon,32,10,3,0,0,3,0
Teschke Joseph,0,0,0,0,0,0,0
Morton Caden,0,0,0,0,0,0,0
Runquist Jonathan,0,0,0,0,0,0,0
Gronert Tyler,0,0,0,0,0,0,0
Giricz Joe,0,0,0,0,0,0,0
Stanish Jeffery,0,0,0,0,0,0,0
Hall Blake,120,57,8,2,6,19,1
Vincent Nolan,0,0,0,0,0,0,0
Burmeister Leo,0,0,0,0,0,0,0
Alderden Cobey,51,13,2,0,0,9,5
Truitt Collin,135,45,9,2,7,27,11
Ninmann Cole,1,1,0,0,0,0,0
Barnes Chris,150,52,10,0,4,33,4
Blank William,26,6,0,0,0,2,0
Le Aj,41,14,1,0,1,4,1
Anderson Ryan,0,0,0,0,0,0,0
Erickson Robert,32,10,0,0,0,2,2
Langjahr Luke,0,0,0,0,0,0,0
Barr Peyton,0,0,0,0,0,0,0
Shah Aagam,0,0,0,0,0,0,0
Justus Andy,0,0,0,0,0,0,0
Thomas Seth,0,0,0,0,0,0,0
"Erickson, Robert",4,1,0,0,0,0,0
"Hickman, Elijah",120,30,8,3,1,19,3
"Jacob, Christian",158,55,15,4,2,9,18
"Cajigas, Julio",110,38,7,2,4,6,4
"Kasik, Michael",171,64,18,0,11,15,5
"Dorsch, Tyler",156,62,12,3,5,35,3
"Gledhill, Carter",63,17,4,0,0,8,4
"Mahler, Jake",23,4,1,0,0,1,0
"Krater, Tyler",150,53,16,1,4,16,3
"Sandoval, Jaime",140,42,10,0,0,20,2
"Anderson, Caleb",86,31,5,0,0,17,2
"McLaughlin, Wyatt",0,0,0,0,0,0,0
"Higgins, Eliot",0,0,0,0,0,0,0
"Tobin, Mike",0,0,0,0,0,0,0
"Kerr, Chandler",0,0,0,0,0,0,0
"Meyer, Dax",0,0,0,0,0,0,0
"Sperando, Richie",6,1,0,0,0,0,0
"Teahan, Aidan",1,0,0,0,0,2,0
"Mahler, Brandon",112,40,8,0,4,4,0
"Pritchard, Tyler",0,0,0,0,0,0,0
"Rensberger, Nick",12,2,0,0,0,3,0
"Pullano, Anthony",0,0,0,0,0,0,0
"Jones, Bryce",0,0,0,0,0,0,0
"Owens, Dom",2,1,0,0,0,0,0
"Sherman, Tyler",8,1,0,0,1,1,0
"Ston, Kyle",0,0,0,0,0,0,0
"Maynard, Garry",142,50,12,2,13,8,4
"Valdez, Sammy",0,0,0,0,0,0,0
"Gonzalez, Joe",10,1,0,0,0,0,0
"Garvey, Jake",0,0,0,0,0,0,0
"Deimling, David",0,0,0,0,0,0,0
"Vazquez Jr., Sergio",11,1,0,0,0,5,0
"Stutzman, Westin",0,0,0,0,0,0,0
"Sproule, Samuel",164,63,9,0,0,12,3
"Blake, Connor",133,44,10,1,5,18,7
"Old, Timmy",19,5,2,0,0,1,0
"Holahan, Evan",4,0,0,0,0,2,0
"Minami, Joshua",20,5,1,0,0,6,3
"Bennitt, Brandon",161,58,15,1,9,27,6
"Jackson, Matthew",146,55,9,0,12,22,3
"Vieluf, Peyton",118,36,7,1,2,7,1
"Gutsfeld, Tyler",159,59,11,4,9,12,3
"Paxson, Michael",149,54,10,0,7,18,7
"Kim, Mason",64,16,2,0,1,1,3
"Cooper, David",92,23,10,0,0,6,3
"Bove, Matthew",110,32,6,1,0,14,7
"Belflower, Joseph",0,0,0,0,0,0,0
"Lis, Zac",0,0,0,0,0,0,0
"Jenssen, Ethan",0,0,0,0,0,0,0
"Niekrasz, Jack",0,0,0,0,0,0,0
"Bracewell, Cameron",0,0,0,0,0,0,0
"Carillo, Nicolas",0,0,0,0,0,0,0
"Dempsey, Zach",0,0,0,0,0,0,0
"Dwyer, Brendan",0,0,0,0,0,0,0
"Garcia, Alejandro",0,0,0,0,0,0,0
"Gori, John",0,0,0,0,0,0,0
"Henry, Ethan",0,0,0,0,0,0,0
"Lindenmuth, Michael",16,3,1,0,0,1,0
"Martinez, Andres",0,0,0,0,0,0,0
"Nutter, Jackson",10,3,2,0,0,0,0
"Richardson, Austin",0,0,0,0,0,0,0
"Schnurr, Austin",0,0,0,0,0,0,0
"Swingle, Fredrick",1,0,0,0,0,0,0
"Tejeda, Ivan",29,10,2,1,0,3,2
"Venditti, Hunter",11,4,0,0,0,1,0
"Waunn, Lucas",16,3,0,0,0,1,0
"Weedman, Alec",0,0,0,0,0,0,0
"Wilkes, Jonah",42,7,1,0,0,5,3
"Doubek, Ryan",167,61,13,1,3,23,10
"Gregorio, Logan",159,64,17,1,8,20,4
"Bushnell, Kevin",159,55,13,0,9,23,11
"Fisher, Brennan",164,50,8,1,5,15,6
"Tenison, Andrew",138,41,8,0,6,28,2
