Player,AB,H,2B,3B,HR,BB,HBP
"Schraufnagel, Luke (MSOE)",12,2,2,0,0,5,0
"Erickson, Robert (MSOE)",22,7,0,0,0,1,1
"Wollschlaeger, Jacob (Lakeland)",25,3,0,0,0,5,0
"Kalscheur, Brooks (Edgewood)",29,9,3,0,0,6,1
"Leopold, Noah (Lakeland)",29,4,0,0,0,11,4
Brandt Keegan (Dominican),30,8,5,0,1,5,0
Doty Austin (Dominican),31,5,0,0,0,0,0
"Palmer, Austin (Lakeland)",33,3,1,0,0,6,6
Polonus Jake (Dominican),38,7,1,0,1,5,3
"Robinson, Griffin (Lakeland)",40,8,1,0,2,11,3
"Dohms, Caleb (Marian)",46,12,2,0,0,5,7
Nalbono Anthony (Dominican),46,5,0,0,1,1,0
"Hanselman, Chase (Benedictine)",50,10,1,0,0,2,1
"Hodges, Kellen (Lakeland)",51,9,0,0,0,5,2
"Sobieski, Landen (Lakeland)",52,14,5,0,0,5,2
"Ruch, Spencer (Aurora)",52,14,0,0,0,5,1
Cooper David (Illinois Tech),53,9,1,0,0,5,1
"Largent, Tristan (Concordia Wisconsin)",56,22,5,0,2,8,8
Vieluf Peyton (Illinois Tech),56,17,3,0,1,3,1
Caleb Anderson (Concordia Chicago),58,20,3,0,0,9,2
Helein Zach (Dominican),59,15,0,0,0,7,0
"Kiszka, Albe (Marian)",59,15,2,0,0,5,3
Eric Kramer (St. Norbert),59,14,0,0,1,3,2
"Carney, Jacob (Edgewood)",60,17,8,0,1,4,1
"Meinert, Collin (Aurora)",60,15,1,2,2,15,7
Kason Mcfadden (Wisconsin Lutheran),60,11,1,2,1,9,0
"Gowan, Scott (Rockford)",61,11,5,0,1,5,0
Schroeder Andrew (Marian),62,22,5,0,3,12,3
Elijah Hickman (Concordia Chicago),63,21,6,2,1,6,2
"Cox, TJ (Rockford)",63,18,5,0,3,5,1
"Curcio, Dominick (Aurora)",64,25,3,1,1,23,2
"Turelli, Peter (Benedictine)",65,26,6,2,3,3,1
"Wedekind, Jett (Aurora)",65,24,4,0,7,17,7
Jaden Holgado (St. Norbert),70,19,2,0,0,14,5
"Hall, Blake (MSOE)",72,41,7,0,5,10,1
Noah Zaccanti (Wisconsin Lutheran),72,25,9,0,0,1,1
