Player,AB,H,2B,3B,HR,BB,HBP
Aaron Roeseler (HUS),78,40,3,0,1,2,4
Cameron Schuett (CLY),59,30,8,0,4,6,4
Jonathan Wizner (THI),72,36,6,1,1,7,6
Hunter Olson (CLY),45,22,2,0,5,7,6
Hunter Herpel (LEB),46,22,2,0,3,7,3
Johnny Kelliher (HAR),53,25,7,0,1,8,3
Benjamin Lambert (NEO),35,16,5,0,4,6,3
Robby Proehl (NEO),53,24,5,0,3,8,0
Grant Steinke (CED),47,21,3,0,0,3,1
Bow Hartwig (JOH),51,22,8,0,0,4,5
Tressin Kussmaul (MIL),49,21,2,0,1,8,3
Gavin Daniel (ASH),28,12,2,0,0,7,4
Clint Rose (CLY),45,19,4,0,0,12,1
Sid Lehman (RUB),58,24,1,0,2,10,0
Adam Bretsch (CED),34,14,2,1,1,2,2
Adam Ryan (OAK),42,17,5,0,2,6,5
Derek Hall (KEW),63,25,5,0,0,7,2
Cullen Weiss (RUB),48,19,0,0,1,13,6
Nate Roethle (HAR),71,28,3,2,1,5,2
Alex Elenteny (SAU),41,16,2,0,2,1,0
Brock Vredeveld (CLY),34,13,3,0,0,3,1
Harry Steldt (KEW),29,11,1,0,1,6,4
Nick Schmitt (CLY),37,14,3,0,0,11,1
Joe Seegers (HAR),64,24,3,2,0,13,7
Mike Aiello (KEW),54,20,4,0,0,9,3
Carter Schneider (MIL),57,21,2,0,1,4,7
KJ Banse (RUB),60,22,6,0,4,10,0
Jake Raisbeck (MIL),44,16,4,1,0,6,1
Brent Williams (HAR),69,25,2,0,0,18,0
Ethan Sawyer (KEW),47,17,4,1,1,9,3
Clay Schult (THI),50,18,5,1,3,12,3
Taylor Anderson (HAR),56,20,6,2,2,11,0
Brady Madigan (OAK),42,15,5,0,0,4,1
Jimmy Doedens (THI),73,26,3,0,0,13,1
Griffin Lietzau (HUS),59,21,4,0,0,8,4
Josh Oswald (CLY),45,16,3,0,2,7,3
Brett Jakel (CLY),40,14,2,0,0,1,0
Dan Dean (MIL),46,16,2,0,0,10,1
Zach Lauersdorf (NEO),55,19,1,0,0,2,2
Shane Murphy (NEO),44,15,1,0,0,6,3
Gabe Wendt (NEO),47,16,4,0,0,11,1
Bayne Johnson (NEO),47,16,3,0,0,4,2
Noah Zubke (LEB),50,17,4,0,1,11,3
Zach Brewer (HAR),66,22,1,1,0,6,0
Trent Birkel (RUB),54,18,0,0,0,7,2
Zach Braun (HAR),51,17,4,0,0,9,0
Ty DeForest (CLY),51,17,1,0,2,7,0
Nick Archambeau (NEO),42,14,2,0,0,3,0
Jarrett Buchholz (OAK),58,19,2,0,4,6,5
Cole De Stefanis (CED),55,18,3,1,0,2,2
Brendon Zimdars (SAU),55,18,0,0,0,11,1
Simon Bares (SAU),52,17,3,0,0,4,0
Casey Simon (HUS),49,16,2,0,5,6,1
Aaron Brockman (SAU),47,15,2,0,0,3,0
Owen Zaskowski (RUB),41,13,0,0,0,10,1
David Sagaitis (MIL),57,18,4,0,0,10,2
Cormac Madigan (OAK),38,12,0,0,1,3,0
Seth Gosse (OAK),48,15,3,0,1,8,2
Connor O’Brien (HEL),42,13,2,0,1,7,1
Joshua Udelhofen (MIL),42,13,2,0,1,9,3
Alan Mares (JOH),55,17,4,0,0,12,4
Patrick Kraemer (ASH),43,13,1,0,0,0,0
Kyle Kopplin (HEL),50,15,1,0,0,5,1
Dante Heard (HEL),47,14,2,0,0,4,0
Austin Gellar (NEO),65,19,1,0,2,10,1
Jordan Scherr (HUS),31,9,1,0,0,8,0
Bryce Schuett (CLY),38,11,0,0,0,4,3
Casey Mir (THI),66,19,3,0,0,3,3
Kamron Koplitz (RUB),53,15,1,0,0,4,2
Sam Tomashek (CED),46,13,0,1,0,1,0
Jordan Frey (JOH),43,12,2,0,2,5,0
Tony Schmitt (CLY),33,9,1,1,1,8,0
Brad Young (KEW),48,13,1,0,0,5,2
Griffith Lukes (HAR),63,17,3,0,3,6,0
Lucas Bork (CED),41,11,3,1,0,2,1
Jared Chesak (KEW),41,11,3,0,1,3,4
Cole Hessler (THI),60,16,0,0,0,1,1
Luke Scheuerlein (THI),60,16,1,0,3,6,2
Hayden Krimmer (CED),45,12,2,1,2,5,0
Michael Merk (OAK),64,17,2,0,0,5,1
Jared Mitchell (SAU),34,9,2,0,0,7,2
Jacob Oestreicher (JOH),50,13,3,0,1,2,0
Christrian Kadrich (CED),47,12,2,0,0,8,1
Nick Rosenthal (KEW),63,16,1,3,1,11,1
Taylor Renzaglia (HAR),64,16,2,0,0,7,2
Dan Sabin (HUS),48,12,0,0,4,12,3
Sam McCann (MIL),61,15,5,0,1,10,2
Lucas Schramm (NEO),45,11,0,0,0,8,2
Ethan Ehlers (CED),37,9,1,1,0,11,1
Owen Ernest (HEL),34,8,0,0,0,3,1
Tanner Galeazzi (HUS),64,15,1,0,3,7,0
Josh Schoonover (HEL),47,11,3,0,0,11,0
Jake Cedar (OAK),39,9,1,0,1,9,0
Ryan Worm (THI),75,17,5,0,1,5,1
Josh Hennen (HUS),40,9,1,0,0,6,0
Hunter Berry (OAK),54,12,1,0,0,6,3
Tyler Ryan (ASH),36,8,1,0,0,4,5
Zach Prideaux (THI),37,8,0,0,0,11,1
Tyler Doyle (LEB),51,11,2,0,3,10,1
Deven Michalak (HUS),66,14,2,0,0,10,0
Benjamin Hodel (HEL),33,7,2,0,0,5,0
Justin Draeger (HEL),38,8,1,1,0,10,0
Matt Molini (JOH),43,9,0,0,0,8,3
Tim Moon (JOH),44,9,0,0,0,5,5
Derek Merkes (HUS),50,10,1,0,0,12,0
Sam O'Leary (MIL),40,8,2,0,0,5,1
Sam Roeseler (HUS),36,7,0,0,0,14,0
Matt Olszewski (JOH),48,9,0,0,0,3,1
Noah Noyce (LEB),48,9,0,0,0,5,1
Jeffery Comfort (HEL),38,7,1,0,0,3,2
Alec Tomkiewicz (THI),48,8,0,0,0,3,0
Steve Dickmann (SAU),55,9,0,0,0,8,0
Chris Donaldson (JOH),44,7,0,0,0,14,1
Mike Sherrick (SAU),32,5,0,0,0,3,2
Louis Demetropoulos (LEB),54,7,1,0,0,10,1
Daniel Hackbarth (LEB),32,4,0,0,0,6,2
Logan Richart (LEB),33,4,0,0,1,3,5
